id,constant,position,translate
1. Главная страница,,,
1.1. Посадочная страница.,,,
1,indexHeaderText.slide1.title,Заголовок №1,Комфортная платформа для заработка Company Name
2,indexHeaderText.slide1.text|dot,Подзаголовок к заголовку №1,Широкий функционал для прибыльного инвестирования
3,indexHeaderText.slide2.title,Заголовок №2,Доступные рынки для твоих инвестиций
4,indexHeaderText.slide2.text|dot,Подзаголовок к заголовку №2,Большой выбор торговых инструментов для различных стратегий
5,indexHeaderText.slide3.title,Заголовок №3,Удобный и доступный интерфейс
6,indexHeaderText.slide3.text|dot,Подзаголовок к заголовку №3,Круглосуточный доступ к мобильной и десктопной версии платформы
7,indexHeaderText.slide4.title,Заголовок №4,Выгодные торговые условия
8,indexHeaderText.slide4.text|dot,Подзаголовок к заголовку №4,Разнообразие тарифных планов под различные инвестиционные цели
1.2. Почему мы? (Преимущества),,,
9,indexAdvantagesText.h2,Главный заголовок раздела,Company Name выбирают
10,indexAdvantagesText.advantage1.title,Преимущество №1,Начинающие трейдеры
11,indexAdvantagesText.advantage1.text|dot,Описание преимущества №1,Разнообразие торговых и аналитических инструментов позволяет разобраться в трейдинге с нуля.
12,indexAdvantagesText.advantage2.title,Преимущество №2,Опытные участники
13,indexAdvantagesText.advantage2.text|dot,Описание преимущества №2,Сниженные комиссии и лучшие торговые условия для трейдинга на рынке брокеров.
14,indexAdvantagesText.advantage3.title,Преимущество №3,Крупные инвесторы
15,indexAdvantagesText.advantage3.text|dot,Описание преимущества №3,Выбор из нескольких вариантов обслуживания под любые инвестиционные цели.
16,indexAdvantagesText.advantage4.title,Преимущество №4,Ценители комфорта
17,indexAdvantagesText.advantage4.text|dot,Описание преимущества №4,Доступный интерфейс платформы обеспечивает комфортные условия для трейдинга.
18,indexAdvantagesText.advantage5.title,Преимущество №5,Путешественники
19,indexAdvantagesText.advantage5.text|dot,Описание преимущества №5,Платформа Company Name доступна для трейдинга из любой точки мира при наличии доступа в интернет.
20,indexAdvantagesText.advantage6.title,Преимущество №6,Эксперты в инвестировании
21,indexAdvantagesText.advantage6.text|dot,Описание преимущества №6,Широкий ассортимент торговых инструментов позволяет реализовывать различные стратегии.
1.3. Дополнительные преимущества.,,,
22,indexBenefitsText.h2,Главный заголовок раздела,Раскрой потенциал с Company Name
23,indexBenefitsText.benefit1.title,Преимущество №1,Более 200 торговых инструментов
24,indexBenefitsText.benefit1.text|dot,Описание преимущества №1,Выбирай из самых прибыльных инвестиционных площадок.
25,indexBenefitsText.benefit2.title,Преимущество №2,Безопасный трейдинг на платформе
26,indexBenefitsText.benefit2.text|dot,Описание преимущества №2,Company Name сотрудничает с авторитетными финансовыми регуляторами.
27,indexBenefitsText.benefit3.title,Преимущество №3,Моментальное исполнение ордеров
28,indexBenefitsText.benefit3.text|dot,Описание преимущества №3,Наши сервера обеспечивают высокую скорость обработки транзакций.
29,indexBenefitsText.benefit4.title,Преимущество №4,Достоверная информация о котировках
30,indexBenefitsText.benefit4.text|dot,Описание преимущества №4,Данные об изменении курсов публикуются из официальных источников.
1.4. Как начать.,,,
31,indexStepsText.h2,Главный заголовок раздела,Создай аккаунт на платформе Company Name
32,indexStepsText.step1.title,Шаг №1,Регистрация
33,indexStepsText.step1.text|dot,Описание Шага №1,Заполни персональные данные о себе.
34,indexStepsText.step2.title,Шаг №2,Депозит
35,indexStepsText.step2.text|dot,Описание Шага №2,Пополни личный счёт удобным способом.
36,indexStepsText.step3.title,Шаг №3,Трейдинг
37,indexStepsText.step3.text|dot,Описание Шага №3,Инвестируй в различные торговые инструменты.
1.5. Информация об аккаунтах.,,,
38,indexAccountsText.h2,Главный заголовок раздела,Тарифы
39,indexAccountsText.account1.title,Аккаунт №1,Стандарт
